Time,x_cv,z_cv,ax_imu,ay_imu,theta_cv,w_imu,x_out,vx_out,ax_out,y_out,vy_out,ay_out,theta_out,w_out
7.013442,0.4063135366814967,0.6156420843606223,0.0047884033203125,-6.423643054199219,0.1240345988386689,0.10778407365369562,-0.6517234149583319,0.01416231070205554,-0.12412968920919694,0.051881595923010296,-7.6420057642478705,-6.424537766241778,-0.07789289876074752,0.12206978640116836
7.028807,0.4063135366814967,0.6156420843606223,-0.12210428466796874,-6.4643444824218745,0.1240345988386689,0.0929954059459574,-0.6406371993435558,0.01772823403170977,-0.12409048363735256,0.07705155208953374,-7.669176910345313,-6.436196829382771,-0.017361897140278963,0.11435913913889684
7.037693,0.4063135366814967,0.6156420843606223,-0.02633621826171875,-6.517016918945312,0.1240345988386689,0.06941347635794241,-0.6329981349948222,0.019851185224779036,-0.12406855955982687,0.12847008297379314,-7.675658595653813,-6.460077121377957,-0.0038439965915915003,0.10118639386068447
7.054908,0.4063135366814967,0.6156420843606223,0.06943184814453125,-6.411672045898437,0.1240345988386689,0.05382542120654268,-0.6275367033227025,0.020047979473026292,-0.12405469060630052,0.11935015996070152,-7.730043685324452,-6.44563168476102,-0.02228062761520239,0.08685585506984678
7.09607,0.4063135366814967,0.6156420843606223,0.0718260498046875,-6.4356140625,0.1240345988386689,0.05382542120654268,-0.6233773260023409,0.01725812819658847,-0.12404357694157643,-0.016359027154849937,-7.868631464658715,-6.44237938584944,-0.03474828624084623,0.07663180562469794
7.119399,0.4063135366814967,0.6156420843606223,0.0909796630859375,-6.476315490722656,0.1240345988386689,0.06741500774878861,-0.6207412274695352,0.015898570685237274,-0.12403758631231011,-0.014565906271122614,-7.8928616229483834,-6.452167910988627,-0.050256392126892105,0.07346738908458104
7.166416,0.4063135366814967,0.6156420843606223,0.09816226806640624,-6.536170532226562,0.1240345988386689,0.0860673814342242,-0.6187136745896944,0.011294964217346269,-0.12403335352690947,-0.14057071005401833,-7.979337099924283,-6.4764817197999145,-0.06193506086555265,0.07665764405253508
7.213422,0.4063135366814967,0.6156420843606223,0.07422025146484375,-6.421248852539062,0.1240345988386689,0.04290045947650184,-0.6174568827306888,0.0063103057707193655,-0.1240310912105493,-0.22333832425162614,-7.988998672702673,-6.45919021881257,-0.06346722006572685,0.06646587477449047
7.228861,0.4063135366814967,0.6156420843606223,0.05027823486328125,-6.358999609374999,0.1240345988386689,0.04290045947650184,-0.6168301435787578,0.004845200197497516,-0.12403096901359605,-0.11061332296553761,-7.8909541690172365,-6.428974545213042,-0.059021578044437806,0.05958430236731792
7.252468,0.4063135366814967,0.6156420843606223,0.00718260498046875,-6.270414147949219,0.1240345988386689,0.049828483988235056,-0.6164044638675388,0.0021888938786011223,-0.12403138867841429,-0.07857448732499711,-7.8668719069575905,-6.381538263128887,-0.04270899054326431,0.05707368707316938
7.261906,0.4063135366814967,0.6156420843606223,0.10773907470703124,-6.325480786132812,0.1240345988386689,0.02398162330984575,-0.6161602574614058,0.0011655266314198954,-0.12403205530473152,0.018409072446638558,-7.815990304198033,-6.364701712970554,-0.061801852495810806,0.04693001855424475
7.303661,0.4063135366814967,0.6156420843606223,0.028730419921875,-6.098031628417968,0.1240345988386689,0.013189892820415163,-0.6160389874020861,-0.0038655467434067633,-0.12403245536719609,-0.08811869443423437,-7.892317848048114,-6.285183553174282,-0.05089274644983816,0.03719993055229508
7.3148,0.4063135366814967,0.6156420843606223,0.028730419921875,-6.1076084350585935,0.1240345988386689,0.00479632466196915,-0.6159520727641533,-0.005153164282191692,-0.12403290694734172,0.0028614864765940107,-7.8371747427435166,-6.2322868507780536,-0.04421412918567802,0.02772413067124756
7.359939,0.3285330324892311,0.5040344821865707,0.06703764648437499,-6.019022973632812,0.08999562252110503,0.026513016881440577,-0.5808999258060825,0.020997910876260118,-0.11386300018191449,-0.1409559158002067,-7.924458857790838,-6.1685784100588785,-0.05012745811726717,0.02713556752278206
7.375693,0.3285330324892311,0.5040344821865707,0.0718260498046875,-5.932831713867187,0.08999562252110503,0.04929555902579404,-0.5568157486604441,0.037809223627409815,-0.10674699773515109,-0.0817675576198035,-7.876134154716764,-6.0983720780986,-0.056114355974747676,0.03354756433349288
7.386544,0.3285330324892311,0.5040344821865707,-0.05985504150390625,-5.951985327148437,0.08999562252110503,0.05595712105630675,-0.5403765180267314,0.04724686630434092,-0.10176153632526545,-0.01570708436411611,-7.84211733030824,-6.054791904577064,-0.021326023647664324,0.04077599932948575
7.396207,0.3285330324892311,0.5040344821865707,0.10295067138671875,-5.829881042480468,0.08999562252110503,0.06914701387672191,-0.5290374838425612,0.052418179693306255,-0.09826377854851454,0.03575070160485974,-7.827501774059552,-5.987995482803898,-0.04515579136748174,0.048864795498456716
7.409102,0.3285330324892311,0.5040344821865707,0.00239420166015625,-5.882553479003906,0.08999562252110503,0.07154517620770649,-0.5210107724972417,0.055074500894352015,-0.09580692162671381,0.053521709550062135,-7.841476182198764,-5.9566462785930785,-0.03193952683809989,0.05575045140212633
7.419068,0.3285330324892311,0.5040344821865707,0.15562310791015624,-5.916072302246094,0.08999562252110503,0.07087902000465522,-0.5155171480694104,0.05651133680821012,-0.09408097551403345,0.08152762386290283,-7.850227989969913,-5.944556758419987,-0.06818728710960127,0.05981860511308607
7.451773,0.3285330324892311,0.5040344821865707,0.0143652099609375,-6.040570788574218,0.08999562252110503,0.06261868308681946,-0.5107565683413573,0.055477733180414976,-0.09286647601253512,-0.023415903349148143,-7.941925686770821,-5.972868649789813,-0.0508194684483082,0.06098367275466122
7.474943,0.3285330324892311,0.5040344821865707,-0.105344873046875,-6.402095239257812,0.08999562252110503,0.07074578876404496,-0.5078187841965894,0.05456145334434913,-0.09201327443538035,-0.044189997772338924,-7.968920731573172,-6.099962946610015,-0.0034076536465455914,0.06489773484596999
7.527971,0.3285330324892311,0.5040344821865707,-0.076614453125,-6.524199523925781,0.08999562252110503,-0.018785604926045835,-0.5047277833188649,0.05005354615989891,-0.09141422682184899,-0.21912950371048012,-8.041702894588887,-6.2251769082199,0.021875362265257207,0.04094616032894315
7.572439,0.3285330324892311,0.5040344821865707,0.12210428466796874,-6.059724401855468,0.08999562252110503,-0.06834762643306039,-0.5030602851215126,0.04550041065679337,-0.090994896376122,-0.28618414563922995,-7.985159417401993,-6.175272134676753,-0.020982266906643194,0.006826554334879255
7.586164,0.3285330324892311,0.5040344821865707,0.12210428466796874,-5.987898352050781,0.08999562252110503,-0.05156049011616837,-0.5029456262893741,0.04380661565574821,-0.09069955303634457,-0.1674544587409331,-7.854839469330972,-6.119264959992757,-0.05142228768128736,-0.011275434046536689
7.607431,0.3285330324892311,0.5040344821865707,0.11252747802734374,-5.758054992675781,0.08999562252110503,-0.03490658503988659,-0.502659714437204,0.04135105297426924,-0.09049186352730776,-0.12787084888830272,-7.799515022783448,-6.011805116587132,-0.06990392300727036,-0.018706773710037643
